date	APOSTILLA	C. C. VISADO	CANCELACION VISA	CENSO MIGRATORIO	DOCUMENTOS DE VIAJE	ESTADO CIVIL	LEGALIZACIONES	NATURALIZACION	NOTARIALES	SOLICITUD CANCELACION	SOLICITUD VISA	TRANSFERENCIA VISA	VISADO
20130206	1092		33	216	88		338	13	346	33	149	45	151
20130207	1119	1	32	203	70		233	19	312	32	189	37	175
20130208	1197		27	189	62		253	19	310	27	179	42	169
20130209							1		9				
20130210							1		112		1		1
20130211					44		10		239		15		15
20130212					88		30		261		12		12
20130213	959		19	200	77		223	8	346	19	133	38	140
20130214	1093		27	197	49		283	17	286	27	170	54	168
20130215	1208	3	26	153	71		306	18	259	26	188	53	143
20130216					29		1		179				7
20130217									5		1		2
20130218	1072	1	41	182	3		147	28	48	41	150	44	125
20130219	1250	2	17	153	109		325	19	451	17	203	39	211
20130220	1151		18	180	81		240	22	365	18	225	49	233
20130221	1389		33	159	56		235	28	315	33	218	58	211
20130222	1294	1	42	165	43		171	22	295	42	154	44	158
20130223	182		15	34	26		20	12	173	15	51	9	67
20130224									111				
20130225	1060	2	38	199	89		341	21	324	38	134	46	119
20130226	1091		24	167	88		293	26	362	24	170	48	163
20130227	1230		35	179	107		270	23	328	35	224	59	211
20130228	976		32	118	47		262	12	304	32	196	34	198
20130301	1354	2	36	184	56		199	9	238	36	154	39	141
20130302					11				173				
20130303									99				
20130304	1225		34	225	68		237	11	314	33	154	33	168
20130305	1405		26	184	75		262	20	373	26	198	37	161
20130306	1334	1	42	155	70		265	4	340	42	185	36	173
20130307	1378		33	157	47		285	22	298	33	209	34	229
20130308	1304		23	164	37		253	23	285	23	168	35	125
20130309					19		6		153		2		39
20130310									84				
20130311	1208		32	204	64		227	17	369	32	186	33	191
20130312	1220	1	19	177	116		285	15	420	19	163	35	148
20130313	1130	2	28	153	45		374	18	351	28	202	38	215
20130314	1207	1	31	108	36		386	12	284	31	149	34	136
20130315	1157		34	176	43		339	16	282	34	176	35	136
20130316					23		10		180				23
20130317							8		8				
20130318	1062		39	220	22		254	10	183	39	153	25	125
20130319	1088		34	153	109		419	28	450	34	153	43	173
20130320	1041	1	22	161	48		279	33	328	22	178	37	168
20130321	1238		39	165	21		285	32	297	39	182	36	192
20130322	1057		30	150	32		175	27	291	30	209	31	173
20130323					17		8		151				30
20130324					20		16		115				
20130325	1034		32	178	48		231	25	378	32	173	35	148
20130326	1044	1	27	176	71		258	17	403	26	181	46	179
20130327	960		34	180	95		282	20	339	34	189	35	199
20130328	865	2	33	135	29		366	17	203	33	169	29	177
20130329							33		1		8		8
20130330					11				115				
20130401	926		34	199	80		202	23	257	34	145	36	147
20130402	1115		30	175	76		303	33	345	30	210	44	203
20130403	1311		44	177	57		282	33	386	44	185	38	195
20130404	1103		32	177	35		215	25	303	32	215	30	185
20130405	1323	1	23	162	46		252	19	316	23	157	38	135
20130406					17		2		146				
20130407									112				
20130408	1042		40	199	54		212	17	334	40	144	47	148
20130409	1088		39	158	80		238	16	278	39	166	26	174
20130410	1133		36	169	43		262	22	378	36	214	29	196
20130411	1144		25	182	55		443	22	295	25	238	23	219
20130412	1036		15	128	67		210	18	341	15	204	21	205
20130413					40		2		186		2		2
20130414									121				
20130415	1151		34	157	49		312	23	325	34	167	20	140
20130416	997	2	33	146	88		271	12	307	33	184	35	217
20130417	964	1	24	147	64		288	19	365	24	179	34	211
20130418	1001	1	39	175	40		228	19	246	39	214	47	210
20130419	1033		38	128	39		202	12	260	38	140	29	123
20130420					19				160				25
20130421					50		8		124				
20130422	905		21	162	54		233	26	344	21	185	27	184
20130423	925		60	143	58		388	13	354	60	182	49	187
20130424	933		36	151	38		227	15	329	36	261	24	214
20130425	944		41	130	31		207	18	222	41	189	40	228
20130426	1027		38	113	30		230	11	253	38	186	28	172
20130427							77		141		2		2
20130428							5		94				
20130429	810		44	134	73		176	16	292	44	154	28	151
20130430	896		50	167	58		251	16	378	50	190	33	199
20130501					17		10		64		1		1
20130502	952		40	148	36		221	8	244	40	170	29	122
20130503	1058		46	145	36		205	10	282	46	204	22	233
20130504					12		1		127				
20130505									79				
20130506	869	1	36	211	64		208	7	364	36	158	22	154
20130507	1059		26	163	56		264	16	351	25	180	37	148
20130508	998		35	182	84		352	19	385	35	182	32	194
20130509	1040		18	165	33		514	14	313	18	186	27	186
20130510	998		32	112	27		247	12	269	32	163	26	154
20130511			1		56		1		140	1	1		1
20130513	846	2	26	161	35		269	35	347	26	170	31	181
20130514	863		35	163	68		225	18	331	35	168	40	173
20130515	1045	1	23	124	73		327	19	283	23	215	26	229
20130516	1161	1	25	163	43		258	17	329	25	150	30	142
20130517	1020		21	146	28		331	16	277	21	184	26	185
20130518					21		1		103		1		1
20130519							3		63				
20130520	925		28	183	43		160	19	302	28	185	30	179
20130521	1072		18	193	56		242	23	379	18	185	39	200
20130522	1108		34	181	60		249	16	314	34	206	28	194
20130523	987		26	159	33		450	18	290	26	230	22	193
20130524					16		24		48		16		15
20130525					15		2		120				
20130526							2		77				
20130527	908		32	184	22		191	15	257	32	189	22	191
20130528	966	1	28	192	35		246	5	366	28	179	34	187
20130529	955		26	119	53		369	21	342	26	190	36	212
20130530	924	2	42	164	33		314	8	281	42	242	30	228
20130531	895		23	117	40		254	17	311	23	176	25	199
20130601					8		1		131				
20130602									97				
20130603	920		27	213	87		252	28	357	27	170	32	148
20130604	946		31	144	56		263	16	359	31	223	36	222
20130605	980	2	28	192	64		338	27	388	28	230	34	247
20130606	1093	1	34	160	29		336	19	278	34	187	36	176
20130607	1180	1	20	131	69		278	15	387	20	175	32	180
20130608							77		76		10		10
20130609					24				140		9		9
20130610	1058		23	168	53		239	13	376	23	168	32	164
20130611	1186		30	143	71		286	14	388	30	171	39	196
20130612	978		28	155	47		262	21	273	28	157	27	138
20130613	930		49	189	44		271	21	381	49	165	22	185
20130614	1057		23	105	42		196	16	295	23	191	18	182
20130615					15		1		133				
20130616							8		65				
20130617	820		26	146	49		513	16	355	26	172	35	168
20130618	1014	1	36	191	70		315	18	383	36	205	32	194
20130619	924		19	135	59		417	11	303	19	233	43	258
20130620	948		23	209	36		430	26	294	23	246	36	251
20130621	975	2	15	134	53		224	25	316	15	175	36	151
20130622					15		2		160		1		1
20130623							3		91				
20130624	869		19	206	72		231	15	309	19	207	30	234
20130625	786		20	175	27		253	19	270	20	181	38	168
20130626	1107	1	32	169	41		394	21	414	32	239	29	237
20130627	970	2	57	137	49		443	25	344	57	236	32	224
20130628	1044		35	137	37		283	22	297	35	199	30	202
20130629					63				167				
20130630									94				
20130701	890		29	204	104		275	20	330	29	197	41	178
20130702	1141		27	179	89		380	20	410	27	186	34	185
20130703	1078		17	186	51		544	20	310	17	188	36	190
20130704	1107		30	163			320	15	215	29	177	43	146
20130705	1087	2	26	141	70		207	23	291	26	228	27	238
20130706					16		1		165				
20130707					1				90				
20130708	1018		25	152	60		334	16	348	25	178	33	217
20130709	980		59	166	72		489	20	388	59	190	26	179
20130710	1166	1	32	155	78		383	20	403	32	211	27	219
20130711	1042		45	143	47		500	16	308	45	194	35	182
20130712	1072	1	27	179	43		216	30	309	27	213	33	191
20130713					17				159				
20130714									100				
20130715	995		18	163	68		404	23	310	18	195	37	204
20130716	1154	2	29	176	84		341	16	384	29	194	30	184
20130717	1102	3	17	179	74		338	20	331	17	242	33	230
20130718	1310		27	124	50		399	24	290	27	251	28	234
20130719	1081		31	154	39		326	27	284	31	228	33	219
20130720					30		141		173				
20130721					50		3		159				32
20130722	1122	1	31	160	87		454	25	319	31	230	40	224
20130723	1030		37	176	103		584	29	397	37	208	33	183
20130724	1026		38	153	55		559	40	304	38	216	44	226
20130725	733		20	87	71		426	36	283	19	201	24	187
20130726	1093	1	21	161	49		397	14	242	21	216	27	226
20130727					13		4		161		17		18
20130728									85				
20130729	977		25	133	79		773	13	289	25	204	26	208
20130730	1056		32	172	73		474	16	334	32	235	40	234
20130731	1020		32	150	71		387	20	336	32	174	25	185
20130801	1073		37	173	60		418	16	287	37	208	31	163
20130802	1205		24	131	43		487	20	290	24	254	25	236
20130803					13		14		110				39
20130805	1113		48	214	57		400	19	301	48	246	30	216
20130806	1128	1	25	154	70		405	19	321	25	222	41	249
20130807	1118		24	183	53		427	16	351	24	230	28	195
20130808	1127		25	155	44		337	21	312	25	292	39	308
20130809	1137		21	183	64		196	14	350	21	181	27	176
20130810								3	15				
20130811							8				10		10
20130812	1083	3	36	176	74		452	22	327	36	203	27	204
20130813	1123	1	28	179	70		393	18	454	28	239	29	267
20130814	1070		40	144	69		511	22	321	40	228	36	192
20130815	994		41	212	26		348	25	148	41	220	34	235
20130816	1002		41	234	31		387	21	289	41	186	23	176
20130817					20		1		171		5		5
20130818					4				111				
20130819	1029		32	233	81		285	24	355	32	197	24	199
20130820	1032	2	25	201	69		302	15	378	25	221	22	229
20130821	1037		41	178	77		386	17	337	41	264	46	258
20130822	982		49	195	66		384	19	274	49	239	40	207
20130823	1182	2	25	173	53		349	24	266	25	202	28	216
20130824					33		29		139		4		4
20130825					19				118				
20130826	1005		30	246	56		287	18	328	30	199	37	198
20130827	1015	3	54	280	86		336	23	356	53	230	38	223
20130828	996		37	258	70		395	24	332	37	226	36	231
20130829	1075	1	33	231	47		383	11	290	33	198	26	232
20130830	907	1	23	189	52		365	16	269	23	202	20	204
20130831					45		4		142				
20130901					11				72				
20130902	966	2	30	228			270	22	196	30	141	28	113
20130903	1111	1	46	198	76		321	31	359	46	188	41	201
20130904	1105	1	29	190	59		464	19	310	29	227	31	206
20130905	1182	3	36	257	51		428	16	281	36	188	36	182
20130906	1029		29	190	51		268	24	261	29	210	29	208
20130907					35		3		139		3		30
20130908					21		18		79		1		1
20130909	1081		54	224	52		401	20	305	54	196	33	189
20130910	1217		21	225	44		438	14	301	21	234	35	194
20130911	1118	2	25	218	43		292	24	292	25	190	25	228
20130912	1104	12	16	172	25		409	27	284	16	217	29	220
20130913	1201	2	37	181	42		377	11	274	37	228	30	238
20130914					29		2		126				
20130915					22		58		93				
20130916	1095	1	28	213	57		278	22	280	28	185	33	187
20130917	1042	2	18	167	45		309	29	326	18	242	37	231
20130918	1250		27	198	51		357	25	341	27	232	31	246
20130919	1095		30	187	36		329	33	265	30	170	33	175
20130920	1038	3	29	158	34		286	28	247	29	214	21	190
20130921					39		1		147				
20130922					12				34				57
20130923	1039	6	49	208	42		374	20	307	49	185	26	207
20130924	1036	2	35	220	47		650	15	296	35	213	34	214
20130925	1010		28	222	65		305	25	322	28	243	32	225
20130926	1245	1	17	170	46		450	18	231	17	255	30	222
20130927	1030		40	232	28		170	25	228	40	214	35	219
20130928					43		13		133		2		2
20130929					27		87		109		3		3
20130930	1010	2	31	167	57		240	12	297	31	176	19	224
20131001	1161		45	191	70		296	8	337	45	195	30	154
20131002	1260	1	24	171	40		323	25	274	23	189	34	222
20131003	1352		35	176	43		293	36	251	34	207	31	201
20131004	1396		37	144	44		277	26	288	37	180	35	133
20131005					48		4		147				
20131006					20				104				
20131007	1087	1	36	191	65		313	24	331	36	173	29	240
20131008	1311	1	36	169	48		356	21	325	36	224	36	226
20131009	1200	1	26	166	39		373	22	213	26	207	19	217
20131010	1331		43	171	65		372	25	316	43	260	42	185
20131011					39		150		135		34		35
20131012					51				105				
20131013									82				
20131014	1170	1	27	206	1		387	21	188	27	184	28	224
20131015	1045	1	46	156	71		324	22	396	46	249	27	237
20131016	990		21	165	60		334	16	331	21	226	27	243
20131017	1044		31	206	34		372	21	298	31	222	27	220
20131018	993	1	27	184	43		250	20	251	27	236	21	189
20131019					45		8		151		1		1
20131020					57		1		112				
20131021	911	1	22	222	52		389	17	298	22	163	28	196
20131022	1063		24	189	54		302	23	384	23	254	34	259
20131023	960	3	28	174	79		471	17	317	28	243	31	227
20131024	880		14	133	43		501	28	268	13	251	25	255
20131025	1034	1	44	199	42		338	22	281	44	239	24	207
20131026					56		1		119				
20131027					28		5		103				
20131028	824		17	245	66		284	17	285	17	198	25	188
20131029	870		34	189	67		333	17	337	34	261	36	277
20131030	990	1	39	183	53		311	16	323	39	209	31	170
20131031	838	1	46	136	44		351	24	231	46	215	29	245
20131101	747		33	143	65		322	7	175	33	165	25	137
20131102					14		1		92				
20131103							5		78				
20131104	733		35	255	63		377	42	292	35	135	39	135
20131105	1200	2	36	166	53		381	25	338	36	205	31	206
20131106	1135		39	128	72		468	22	307	39	220	41	240
20131107	1151		42	149	68		483	17	320	42	297	17	283
20131108	1181		36	134	44		371	16	272	36	261	19	247
20131109					37		147		147		1		1
20131110					34				88				
20131111	940	1	36	247	4		362	13	203	36	227	26	195
20131112	1080		37	197	90		426	24	434	36	228	31	236
20131113	1005	1	37	154	57		444	12	338	37	254	29	241
20131114	1082		43	191	38		380	20	284	43	242	33	217
20131115	1067		44	200	37		240	14	267	44	174	24	169
20131116					23				133		1		1
20131117					25				83				
20131118	907		23	229	65		384	21	347	23	249	29	207
20131119	1013	1	53	169	57		413	15	372	53	235	43	184
20131120	876		25	196	58		401	18	305	25	233	36	201
20131121	872	1	39	168	31		488	26	273	39	203	42	218
20131122	1019		53	178	48		393	27	278	53	212	31	171
20131123					36				151		2		32
20131124					17		1		93				
20131125	870		46	232	68		385	25	342	46	192	27	189
20131126	791		32	174	60		406	17	344	32	224	38	178
20131127	955		29	144	60		363	15	346	29	214	30	204
20131128	865		27	188			455	20	196	27	201	22	183
20131129	839		30	135	9		433	10	224	30	183	28	168
20131130					26		5		71		2		2
20131201									46				
20131202	813		54	207	54		436	20	308	54	182	28	152
20131203	809	2	52	150	47		321	13	351	52	207	27	193
20131204	901	1	30	179	31		392	17	300	30	195	17	175
20131205	855		32	142	37		557	22	266	32	216	26	167
20131206	568		6	108	69		102	13	213	6	113	5	75
20131207					69		2		157				
20131208					32				85				
20131209	941		38	185	58		418	14	313	38	243	29	180
20131210	1064	1	32	192	54		461	24	318	32	264	30	232
20131211	830	5	43	197	60		362	12	294	43	223	28	166
20131212	758		44	154	31		415	22	257	44	198	44	145
20131213	806		42	172	29		416	10	247	42	230	21	160
20131214					31		1		121		1		1
20131215					12				83				
20131216	783		28	216	31		430	31	264	28	243	41	174
20131217	862	1	47	195	76		463	26	310	47	225	26	142
20131218	669		37	186	38		522	18	237	37	235	27	112
20131219	840	1	28	144	29		374	18	244	28	227	33	204
20131220	650		38	121	26		495	14	218	38	218	22	141
20131221					12		4		109				
20131222					2				16				
20131223	749		34	129	58		410	18	268	34	211	22	120
20131224	357	1	19	65	24		127	5	109	19	97	7	54
20131226	588		22	108	28		246	15	125	22	157	21	89
20131227	669	6	49	97	39		177	17	247	49	144	16	70
20131228					20				118				
20131229					31				56				
20131230					28		77		126		28		31
20140102	450	1	25	131	34		376	16	214	25	117	6	101
20140103	1156		20	169	18		263	14	166	20	191	33	156
20140104					8		8		97		4		4
20140105									56				
20140106	980		21	155	52		365	18	149	21	198	25	174
20140107	1098	1	34	175	53		359	17	385	34	176	20	197
20140108	1124		30	158	60		305	16	325	30	171	18	157
20140109	1362		19	162	36		405	14	300	19	246	34	235
20140110	1291	1	23	180	54		468	14	299	23	264	22	315
20140111					63		176		131				12
20140112					5				30				
20140113	1132		15	218	47		297	7	347	15	232	23	295
20140114	1121	3	28	140	86		471	17	413	28	231	26	209
20140115	1216	1	15	190	42		477	27	339	15	200	22	244
20140116	1209	1	18	165	36		531	17	297	18	270	28	278
20140117	1161		33	178	46		246	26	298	33	231	32	247
20140118					43		3		142		1		1
20140119					23				94				
20140120	1283		37	224	14		731	16	260	37	208	47	227
20140121	1282		38	189	69		783	22	352	38	193	27	196
20140122	1058	1	46	177	35		565	23	289	46	240	37	248
20140123	1123	1	24	201	48		810	27	333	24	243	37	249
20140124	1272	1	27	126	75		390	34	321	27	243	28	247
20140125					57		2		167		3		8
20140126					40		15		112		1		1
20140127	929	1	28	193	45		466	30	320	28	217	36	243
20140128	998		34	157	66		452	19	362	34	212	38	230
20140129	1131	1	36	174	68		551	17	342	36	216	50	227
20140130	1101	1	30	199	36		372	19	281	30	184	41	190
20140131	890		59	151	32		338	13	351	59	207	23	218
20140201					56		1		172		3		3
20140202					33				96		2		2
20140203	986	1	48	185	56		278	20	325	48	160	25	146
20140204	975	2	62	172	62		397	20	361	62	238	33	220
20140205	1061		35	199	63		305	26	301	35	168	46	204
20140206	1215		39	177	19		373	15	289	39	225	43	205
20140207	1021		52	190	34		283	23	358	52	238	28	251
20140208					56		3		161		1		7
20140209					23				120				30
20140210	1245		30	211	68		245	23	321	29	228	42	229
20140211	991	2	27	222	61		373	24	416	27	259	55	284
20140212	1077		33	210	54		335	33	320	33	200	44	195
20140213	1179		35	179	8		456	16	248	35	241	57	249
20140214	1029	2	32	217	38		221	16	333	32	199	42	230
20140215					27				118				
20140216					23				81				
20140217	1068		46	140	16		500	20	252	46	206	39	223
20140218	1126		29	164	59		438	28	393	29	270	49	282
20140219	943	2	17	143	49		404	20	365	17	245	38	225
20140220	965		39	168	38		556	14	292	39	260	49	214
20140221	893	3	36	131	62		690	17	372	36	234	29	257
20140222					47		1		119				38
20140223					3		5		84				
20140224	924		27	202	53		330	26	289	27	219	26	178
20140225	998		42	200	43		409	18	336	42	229	27	221
20140226	875	1	47	203	62		606	19	375	47	258	48	257
20140227	890	2	39	184	33		441	11	282	39	273	50	301
20140228	1072		18	124	28		253	17	318	18	253	24	306
20140301					48				169				
20140302					21				96				
20140303					73		214		271		42		43
20140304					44		301		283		43		42
20140305	964	2	25	138	37		264	11	292	25	216	22	213
20140306	1422		23	186	50		444	16	307	23	271	37	268
20140307	1812	6	45	182	25		351	16	259	45	245	42	222
20140308	357		22	46	55		43	7	134	22	50	13	88
20140309									95				
20140310	1228		33	198	53		429	17	355	33	287	62	255
20140311	1131		40	171	47		386	16	364	40	252	31	266
20140312	1140		18	193	63		489	16	354	18	210	32	244
20140313	1461	2	38	165	42		501	16	316	38	241	52	220
20140314	1350		43	187	37		337	19	291	43	237	40	242
20140315	259		3	103	41		65	11	170	3	48	18	44
20140316					21		10		106		1		15
20140317	982		28	219	56		468	23	377	28	192	46	179
20140318	998		13	188	77		364	20	369	13	206	35	226
20140319	1115		31	176	66		530	17	337	31	221	45	224
20140320	1268	8	32	149	36		559	16	314	32	247	32	254
20140321	1075		27	100	33		304	20	289	27	243	30	210
20140322					30				115				
20140323					60		1		136				
20140324	874	1	30	200	48		401	16	340	30	221	43	255
20140325	992		47	183	48		450	8	403	47	267	36	224
20140326	1250	1	26	163	76		395	22	349	26	293	51	352
20140327	1451		44	151	26		623	18	302	44	244	48	216
20140328	1466		30	180	46		314	27	297	30	245	40	240
20140329					60		6		183				42
20140330					21				82				
20140331	1210	1	26	138	66		360	23	327	26	226	26	231
20140401	1140		46	169	33		352	18	337	46	194	35	169
20140402	1171	1	31	153	45		526	15	328	31	198	54	218
20140403	1089		38	157	36		472	15	322	38	202	38	183
20140404	1105		30	153	18		190	20	320	30	248	44	228
20140405					39		4		151				67
20140406					27		1		103				
20140407	1064		29	174	37		384	14	313	29	243	46	245
20140408	1081		28	148	40		435	12	319	28	224	33	232
20140409	1005	3	23	145	39		401	26	328	23	246	34	201
20140410	1088		26	141	28		370	13	288	25	230	38	286
20140411	1020		26	184	19		329	18	280	26	227	30	192
20140412									23				40
20140413									9		26		26
20140414	1078	2	29	168	58		620	22	396	29	234	42	225
20140415	1109	1	43	133	106		421	26	489	43	304	31	279
20140416	1019		20	168	84		536	17	392	20	260	40	290
20140417	834		32	153	33		287	10	223	32	258	26	238
20140418					4		42		23		6		8
20140419					51		2		143				
20140420					24				76				41
20140421	855		28	194	53		320	38	278	28	279	45	280
20140422	951		18	193	53		538	38	370	18	258	33	202
20140423	932	2	20	152	40		438	22	281	20	236	27	240
20140424	1176	1	42	149	32		325	22	306	42	347	27	353
20140425	794	1	26	171	23		181	24	234	26	316	37	349
20140426					52		2		174				
20140427					36		1		101				
20140428	985		33	190	50		415	29	347	33	268	45	274
20140429	998	1	39	153	64		391	15	339	39	296	29	270
20140430	1023		29	158	101		492	32	443	29	517	29	538
20140501					20		15		68		5		5
20140502	952	1	16	159	19		199	30	231	16	241	27	173
20140503					42		4		137		7		7
20140504					27		31		108				
20140505	865		38	221	46		412	24	351	38	250	26	264
20140506	961		30	168	44		332	33	332	30	298	38	305
20140507	1033		34	183	36		356	22	356	34	264	36	292
20140508	1077		19	178	36		364	26	325	19	324	41	265
20140509	1000	2	40	172	45		416	20	331	39	298	31	370
20140510					17		9		144				
20140511							4		64				
20140512	874		32	164	53		321	28	312	32	244	34	176
20140513	1048	1	29	190	70		398	2	371	29	255	30	243
20140514	962		27	160	42		311	7	285	27	291	25	370
20140515	1002	1	22	164	49		378	6	230	22	351	37	243
20140516	1058	1	30	210	73		307	7	324	30	315	43	404
20140517					20				140		4		43
20140518							1		112		2		2
20140519	886		15	218	41		376	18	284	15	314	45	269
20140520	926		34	203	37		368	32	374	34	346	35	349
20140521	889		20	221	41		418	35	316	20	315	25	324
20140522	988		27	232	36		403	26	324	27	348	28	384
20140523	868		22	224	32		226	26	270	22	355	34	312
20140524					11		1		146		3		51
20140525							2		81				
20140526	882		45	233			521	16	219	45	331	36	339
20140527	1007	1	24	188	48		313	21	377	24	369	46	358
20140528	827		24	197	42		489	14	362	24	309	39	313
20140529	873	4	32	187	45		365	23	312	32	309	41	335
20140530	767	1	34	135	33		337	14	330	34	296	28	316
20140531					13		1		126				
20140601					7				82				
20140602	819	1	31	226	47		419	22	299	31	283	46	247
20140603	798		37	212	39		483	28	343	37	323	34	302
20140604	934		40	208	57		399	33	339	40	367	33	319
20140605	869	2	25	181	70		314	22	383	24	300	28	323
20140606	952		31	182	48		274	20	350	31	335	27	329
20140607					6		10		94		1		93
20140608							1		85				
20140609	918	2	45	228	46		279	15	330	43	288	29	315
20140610	901		34	189	47		453	30	362	34	336	42	310
20140611	990	1	15	190	37		347	25	386	15	345	35	335
20140612	861		41	204	36		327	20	312	41	348	31	380
20140613	977		29	223	23		313	23	315	29	324	30	330
20140614							131		164		2		2
20140615									67				
20140616	928	1	40	287	44		530	33	353	40	300	32	291
20140617	902	1	34	239	20		377	26	374	34	354	43	345
20140618	930		48	270	36		394	22	321	48	397	35	395
20140619	920		33	194	35		456	18	272	33	329	40	343
20140620	889	3	50	176	33		209	21	294	50	326	28	316
20140621					14				169				
20140622									126				
20140623	981		32	258	38		379	35	324	32	356	47	371
20140624	870		57	234	38		336	27	319	57	320	32	401
20140625	647	1	34	166	40		296	10	328	34	251	26	224
20140626	836	3	40	215	38		358	27	311	40	370	37	385
20140627	951		47	247	34		279	11	282	47	353	34	409
20140628					13				139		6		6
20140629									94				
20140630	811		33	265	41		307	26	353	33	303	32	320
20140701	883		36	255	41		397	7	351	36	320	41	305
20140702	1016	2	40	244	51		450	28	327	40	324	34	278
20140703	1185		43	195	42		617	12	343	43	358	33	409
20140704	1009		19	185			282	15	140	19	345	34	285
20140705					19		1		143				52
20140706									42				
20140707	901		47	254	40		341	34	345	47	303	36	260
20140708	829	1	47	278	41		411	19	335	47	330	42	379
20140709	1008	1	41	293	48		363	32	318	41	321	31	306
20140710	1017		22	203	34		433	27	334	22	368	29	343
20140711	951		23	280	60		269	20	295	23	354	32	217
20140712					47		4		187				163
20140713					50				90				19
20140714	967	1	54	254	63		361	31	359	54	295	31	257
20140715	1070	1	32	245	45		483	20	407	32	353	31	315
20140716	913		36	259	70		373	25	394	36	341	33	365
20140717	986		31	220	45		460	19	316	31	320	37	334
20140718	1017	3	27	221	30		294	29	276	27	355	31	355
20140719					58		2		187				10
20140720					23		2		112				
20140721	825	1	30	191	64		424	23	339	30	305	33	286
20140722	1095		41	253	52		556	31	344	41	394	28	357
20140723	1142	2	35	273	41		511	30	307	35	349	32	330
20140724	1037		23	225	41		416	21	282	23	398	39	341
20140725	647	1	17	162	52		384	19	284	17	301	33	341
20140726					29				150				5
20140727					30				98				
20140728	1030	1	36	280	70		480	32	302	36	353	24	283
20140729	1086	1	39	195	58		502	28	359	38	333	37	390
20140730	1102	1	41	228	63		460	15	297	41	402	36	425
20140731	845		37	171	33		492	23	274	37	374	41	464
20140801	990	1	33	250	39		369	26	274	33	330	29	377
20140802					59		8		202				2
20140804	1115	2	36	280	39		595	36	347	36	322	43	344
20140805	1018	4	44	272	81		485	13	376	44	373	41	287
20140806	1166		32	263	54		641	15	338	32	378	30	462
20140807	1036	1	28	249	30		424	21	298	28	422	38	433
20140808	1132		35	257	37		350	19	266	35	297	40	318
20140809					9		2		64				
20140810									1				
20140811	1138		41	280	68		480	17	329	41	369	27	384
20140812	953		31	251	65		562	9	413	31	412	35	395
20140813	1064		50	239	116		421	11	444	50	401	29	347
20140814	1096		19	252	42		408	13	265	19	262	33	299
20140815	1116		38	275	29		331	14	159	38	500	30	476
20140816					28				176				
20140817									106		4		4
20140818	1079		31	279	80		385	18	329	31	346	33	349
20140819	998	1	46	255	66		478	18	344	46	389	60	406
20140820	1054		29	276	73		349	18	326	29	386	28	352
20140821	1090		48	258	36		517	19	307	48	468	39	487
20140822	1054		51	306	49		247	23	281	51	389	28	421
20140823					60		1		180		6		6
20140824					40				87				
20140825	931		35	296	54		295	20	326	35	337	28	413
20140826	1084		39	355	61		407	12	404	39	350	35	341
20140827	1094	1	32	365	60		391	6	326	32	370	42	384
20140828	967		23	334	41		377	14	285	23	314	35	329
20140829	1045		32	260	27		302	6	279	32	337	27	327
20140830					51		4		143		7		7
20140831					22				75				
20140901	950		49	366	3		328	17	167	49	319	27	300
20140902	977		23	343	65		357	12	318	23	264	39	306
20140903	1064		49	315	54		418	11	313	49	376	31	397
20140904	1164	1	52	290	41		342	22	281	52	384	25	356
20140905	1159		34	348	43		327	11	284	34	338	38	356
20140906					16		1		153				
20140907					29				94				
20140908	1094		41	305	69		412	15	315	41	297	29	311
20140909	1094		37	310	71		354	13	360	37	349	41	366
20140910	1226		33	304	76		289	13	286	33	341	30	380
20140911	1143		31	274	40		300	15	307	31	376	42	402
20140912	1256	1	43	272	38		235	23	240	43	362	36	335
20140913					50		1		155				9
20140914					32				105				47
20140915	1038		34	274	57		471	10	364	34	376	43	379
20140916	1111		40	281	82		425	5	337	40	356	46	336
20140917	1121		40	276	64		380	5	297	40	363	26	388
20140918	1128		46	244	27		315	6	257	46	465	35	481
20140919	1092		42	263	34		253	7	269	42	384	45	316
20140920					56				154				59
20140921					33				65				
20140922	1034		31	284	70		370	15	322	31	387	34	417
20140923	966		44	270	75		412	7	344	44	372	37	342
20140924	1020		36	276	61		322	7	325	36	341	40	340
20140925	987		42	282	103		374	10	375	42	386	42	397
20140926	900		41	252	56		253	11	277	41	350	39	313
20140927					59		1		140				21
20140928					130				122		8		8
20140929	978		67	295	80		298	5	289	67	305	43	301
20140930	975		59	253	97		373	9	330	59	359	29	358
20141001	1126		44	269	56		331	3	320	44	312	33	317
20141002	1038	1	42	238	47		393	12	283	42	314	44	333
20141003	1218		42	242	62		278	4	292	42	297	53	306
20141004					95				165		12		28
20141005					29				87				
20141006	982		41	294	71		307	12	282	41	293	42	287
20141007	934		35	261	110		375	9	324	35	342	30	321
20141008	1124		23	291	70		234	6	323	23	315	37	315
20141009	1133	1	32	243	49		189	3	230	32	325	30	291
20141010					52		154		162		50		89
20141011					99		1		180				
20141012					45				69				
20141013	1045		51	361	13		268	9	219	51	358	37	360
20141014	1089		37	295	79		366	15	345	37	358	47	361
20141015	970	1	53	287	78		350	18	296	53	276	51	284
20141016	1090	3	33	235	99		393	12	408	33	338	42	355
20141017	1059		33	255	57		333	20	287	33	370	40	346
20141018					81		38		177		11		11
20141019					36				117				
20141020	854		55	298	79		396	7	307	55	329	41	342
20141021	965	1	53	269	75		355	13	369	53	319	40	315
20141022	899	2	41	255	116		280	11	342	41	325	42	310
