Nombre,Tipod,ubicacion,lat,lon
OFICINA CONSULAR DEL ECUADOR EN CANBERRA-AUSTRALIA,Consulado,"ObjectId(""5a41d019d491ae316817a662"")",-35.3581281,149.1063656
OFICINA CONSULAR DEL ECUADOR EN CANTON,Consulado,"ObjectId(""5a41d019d491ae316817a670"")",23.1171989,113.3215768
OFICINA CONSULAR DEL ECUADOR EN CARACAS,Consulado,"ObjectId(""5a41d019d491ae316817a6bb"")",10.5025757,-66.9533797
OFICINA CONSULAR DEL ECUADOR EN CHICAGO (ILLINOIS),Consulado,"ObjectId(""5a41d019d491ae316817a692"")",41.8855192,-87.6265479
OFICINA CONSULAR DEL ECUADOR EN CIUDAD DE GUATEMALA,Consulado,"ObjectId(""5a41d019d491ae316817a69d"")",14.608265,-90.5325766
OFICINA CONSULAR DEL ECUADOR EN CONNECTICUT,Consulado,"ObjectId(""5a41d019d491ae316817a694"")",41.3038361,-72.9269308
OFICINA CONSULAR DEL ECUADOR EN DOHA,Consulado,"ObjectId(""5a41d019d491ae316817a6b1"")",25.2400571,51.5582652
OFICINA CONSULAR DEL ECUADOR EN EL CAIRO,Consulado,"ObjectId(""5a41d019d491ae316817a685"")",30.0636858,31.2199319
OFICINA CONSULAR DEL ECUADOR EN ESTOCOLMO,Consulado,"ObjectId(""5a41d019d491ae316817a6b6"")",59.3310609,18.0697413
OFICINA CONSULAR DEL ECUADOR EN GENOVA,Consulado,"ObjectId(""5a41d019d491ae316817a6a4"")",44.4069845,8.9357025
OFICINA CONSULAR DEL ECUADOR EN HAMBURGO,Consulado,"ObjectId(""5a41d019d491ae316817a65f"")",53.5486812,9.9990208
OFICINA CONSULAR DEL ECUADOR EN HOUSTON (TEXAS),Consulado,"ObjectId(""5a41d019d491ae316817a697"")",29.7393361,-95.4821603
OFICINA CONSULAR DEL ECUADOR EN IPIALES,Consulado,"ObjectId(""5a40119926e24d1e6c74ad55"")",0.82333,-77.63631
OFICINA CONSULAR DEL ECUADOR EN KUALA LUMPUR,Consulado,"ObjectId(""5a41d019d491ae316817a6a8"")",3.1592042,101.7089369
OFICINA CONSULAR DEL ECUADOR EN LA HABANA,Consulado,"ObjectId(""5a41d019d491ae316817a676"")",23.1144875,-82.4274286
OFICINA CONSULAR DEL ECUADOR EN LA PAZ,Consulado,"ObjectId(""5a41d019d491ae316817a666"")",-16.5426199,-68.0844643
OFICINA CONSULAR DEL ECUADOR EN LIMA,Consulado,"ObjectId(""5a2b254a67825c3c3c1a59ee"")",-12.0766665,-76.9711772
OFICINA CONSULAR DEL ECUADOR EN LONDRES,Consulado,"ObjectId(""5a41d019d491ae316817a6b2"")",51.5147184,-0.0697535
OFICINA CONSULAR DEL ECUADOR EN LOS ANGELES (CALIFORNIA),Consulado,"ObjectId(""5a41d019d491ae316817a695"")",34.0607066,-118.3036388
OFICINA CONSULAR DEL ECUADOR EN MALAGA,Consulado,"ObjectId(""5a41d019d491ae316817a68d"")",36.7178863,-4.4321788
OFICINA CONSULAR DEL ECUADOR EN MANAGUA,Consulado,"ObjectId(""5a41d019d491ae316817a6ab"")",12.1375497,-86.2770376
OFICINA CONSULAR DEL ECUADOR EN MEXICO D.F.,Consulado,"ObjectId(""5a41d019d491ae316817a6a9"")",19.4337158,-99.1949164
OFICINA CONSULAR DEL ECUADOR EN MIAMI (FLORIDA),Consulado,"ObjectId(""5a41d019d491ae316817a690"")",25.772907,-80.263296
OFICINA CONSULAR DEL ECUADOR EN MINNEAPOLIS,Consulado,"ObjectId(""5a41d019d491ae316817a698"")",45.0112671,-93.2477528
OFICINA CONSULAR DEL ECUADOR EN MONTERREY,Consulado,"ObjectId(""5a41d019d491ae316817a6aa"")",25.6641578,-100.3123773
OFICINA CONSULAR DEL ECUADOR EN MONTEVIDEO,Consulado,"ObjectId(""5a41d019d491ae316817a6ba"")",-34.9177142,-56.1523945
OFICINA CONSULAR DEL ECUADOR EN MONTREAL,Consulado,"ObjectId(""5a41d019d491ae316817a66b"")",45.501637,-73.5756001
OFICINA CONSULAR DEL ECUADOR EN MOSCU,Consulado,"ObjectId(""5a41d019d491ae316817a6b4"")",55.7650565,37.6653804
OFICINA CONSULAR DEL ECUADOR EN MURCIA,Consulado,"ObjectId(""5a41d019d491ae316817a68a"")",37.9891027,-1.1408331
OFICINA CONSULAR DEL ECUADOR EN NUEVA DELHI,Consulado,"ObjectId(""5a41d019d491ae316817a6a0"")",28.5655574,77.1583544
OFICINA CONSULAR DEL ECUADOR EN OTTAWA,Consulado,"ObjectId(""5a41d019d491ae316817a66c"")",45.4204966,-75.7000906
OFICINA CONSULAR DEL ECUADOR EN PALMA DE MALLORCA ISLAS BALEARES,Consulado,"ObjectId(""5a41d019d491ae316817a68c"")",39.601609,2.6556211
OFICINA CONSULAR DEL ECUADOR EN PANAMA,Consulado,"ObjectId(""5a41d019d491ae316817a6ad"")",8.9857892,-79.5209198
OFICINA CONSULAR DEL ECUADOR EN PARIS,Consulado,"ObjectId(""5a41d019d491ae316817a69c"")",48.8773894,2.3113056
OFICINA CONSULAR DEL ECUADOR EN PHOENIX (ARIZONA),Consulado,"ObjectId(""5a41d019d491ae316817a699"")",33.5158414,-112.0656678
OFICINA CONSULAR DEL ECUADOR EN PRETORIA,Consulado,"ObjectId(""5a41d019d491ae316817a6b5"")",-25.7724699,28.231736
OFICINA CONSULAR DEL ECUADOR EN QUEENS,Consulado,"ObjectId(""5a41d019d491ae316817a691"")",38.7512065,-73.9403372
OFICINA CONSULAR DEL ECUADOR EN RIO DE JANEIRO,Consulado,"ObjectId(""5a41d019d491ae316817a667"")",-22.9854699,-43.2260606
OFICINA CONSULAR DEL ECUADOR EN ROMA,Consulado,"ObjectId(""5a41d019d491ae316817a6a6"")",41.9094215,12.4936753
OFICINA CONSULAR DEL ECUADOR EN SAN JOSE,Consulado,"ObjectId(""5a41d019d491ae316817a675"")",9.9280694,-84.0907246
OFICINA CONSULAR DEL ECUADOR EN SAN SALVADOR,Consulado,"ObjectId(""5a41d019d491ae316817a686"")",13.7105634,-89.2402479
OFICINA CONSULAR DEL ECUADOR EN SANTIAGO,Consulado,"ObjectId(""5a41d019d491ae316817a66d"")",-33.4200525,-70.6106257
OFICINA CONSULAR DEL ECUADOR EN SANTO DOMINGO,Consulado,"ObjectId(""5a41d019d491ae316817a6b3"")",18.4754766,-69.9353978
OFICINA CONSULAR DEL ECUADOR EN SEUL,Consulado,"ObjectId(""5a41d019d491ae316817a674"")",37.5698459,126.9893197
OFICINA CONSULAR DEL ECUADOR EN SHANGHAI,Consulado,"ObjectId(""5a41d019d491ae316817a66f"")",31.2085498,121.3661453
OFICINA CONSULAR DEL ECUADOR EN TEGUCIGALPA,Consulado,"ObjectId(""5a41d019d491ae316817a69f"")",14.0967928,-87.191298
OFICINA CONSULAR DEL ECUADOR EN TEHERAN,Consulado,"ObjectId(""5a41d019d491ae316817a6a2"")",35.6523974,51.3269412
OFICINA CONSULAR DEL ECUADOR EN TEL AVIV,Consulado,"ObjectId(""5a41d019d491ae316817a6a3"")",32.0781658,34.7884885
OFICINA CONSULAR DEL ECUADOR EN TOKIO,Consulado,"ObjectId(""5a41d019d491ae316817a6a7"")",35.6592245,139.721816
OFICINA CONSULAR DEL ECUADOR EN TORONTO,Consulado,"ObjectId(""5a41d019d491ae316817a66a"")",43.6686078,-79.3932784
OFICINA CONSULAR DEL ECUADOR EN TUMBES,Consulado,"ObjectId(""5a41d019d491ae316817a6b0"")",-3.571440589,-80.45995092
OFICINA CONSULAR DEL ECUADOR EN VALENCIA,Consulado,"ObjectId(""5a41d019d491ae316817a689"")",39.4687685,-0.3767241
OFICINA CONSULAR DEL ECUADOR EN VALENCIA VENEZUELA,Consulado,"ObjectId(""5a41d019d491ae316817a6bb"")",10.2020773,-68.0292964
OFICINA CONSULAR DEL ECUADOR EN VIENA,Consulado,"ObjectId(""5a41d019d491ae316817a663"")",48.2092298,16.3705769
OFICINA CONSULAR DEL ECUADOR EN WASHINGTON D.C.,Consulado,"ObjectId(""5a41d019d491ae316817a696"")",38.9232117,-77.0349227
OFICINA CONSULAR DEL ECUADOR EN YAKARTA,Consulado,"ObjectId(""5a41d019d491ae316817a6a1"")",-6.2151398,106.8205146
OFICINA CONSULAR GENERAL DEL ECUADOR EN SAO PAULO,Consulado,"ObjectId(""5a41d019d491ae316817a668"")",-23.5582647,-46.6623485
UNIDAD DE LEGALIZACIONES,Coordinacion,"ObjectId(""5a2b254a67825c3c3c1a59ed"")",-0.201996479,-78.49752691
UNIDAD DE LEGALIZACIONES - TURUBAMBA,Coordinacion,"ObjectId(""5a2b254a67825c3c3c1a59ed"")",-0.2769012,-78.5424198
